X,Y,Z,Timestamp
-0.006241238210350275,-0.025669367983937263,0.007819656282663345,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=102018096)"
-0.0062527828849852085,-0.02561851218342781,0.007585655897855759,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=108919049)"
-0.0062621342949569225,-0.02557794377207756,0.007361502852290869,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=116854423)"
-0.006271784193813801,-0.025548288598656654,0.0071478234604001045,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=124720938)"
-0.0062829265370965,-0.02553030475974083,0.006943048909306526,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=132611296)"
-0.006292802281677723,-0.025520939379930496,0.006745731923729181,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=140760103)"
-0.006300387904047966,-0.025519855320453644,0.006557334214448929,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=148703224)"
-0.006306846160441637,-0.025528129190206528,0.006376433651894331,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=156603156)"
-0.006314491853117943,-0.02554525062441826,0.006115281023085117,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=164690573)"
-0.006322002038359642,-0.025570878759026527,0.00586361438035965,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=172554398)"
-0.006329825613647699,-0.02560451626777649,0.005623163655400276,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=180574922)"
-0.006337597034871578,-0.02564636804163456,0.005394086241722107,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=188890590)"
-0.0063455114141106606,-0.025697067379951477,0.005175138358026743,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=192706669)"
-0.006355118006467819,-0.025757014751434326,0.00496567040681839,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=204724743)"
-0.006366525311022997,-0.025825105607509613,0.0047647226601839066,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=212965175)"
-0.00637689046561718,-0.025901561602950096,0.0045731342397630215,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=220929640)"
-0.006386267486959696,-0.025987474247813225,0.0043623908422887325,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=228923651)"
-0.006393877789378166,-0.026081714779138565,0.004159670323133469,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=236903187)"
-0.00640135956928134,-0.026185546070337296,0.00396699458360672,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=244922516)"
-0.006410310044884682,-0.026296505704522133,0.003782549872994423,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=252881100)"
-0.006420846562832594,-0.026414277032017708,0.003605146426707506,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=260933045)"
-0.0064325653947889805,-0.02653975784778595,0.003435953287407756,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=268941401)"
-0.006446386221796274,-0.026674149557948112,0.0032736968714743853,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=277099935)"
-0.006459945347160101,-0.026815636083483696,0.0030995875131338835,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=285095463)"
-0.006475094240158796,-0.02696295827627182,0.0029333001002669334,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=293343317)"
-0.006490032654255629,-0.02711782418191433,0.00277342670597136,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=297139949)"
-0.006504437420517206,-0.02727864868938923,0.0026216567493975163,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=309036024)"
-0.006518739741295576,-0.027444373816251755,0.0024778072256594896,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=316984142)"
-0.006532398983836174,-0.027615491300821304,0.002340804785490036,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=324962317)"
-0.006548116449266672,-0.027792472392320633,0.0022124298848211765,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=332875046)"
-0.006564205512404442,-0.027976039797067642,0.002092073205858469,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=340849184)"
-0.0065792943350970745,-0.02816535159945488,0.001969330245628953,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=348960006)"
-0.006595101207494736,-0.02835964970290661,0.001853656372986734,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=356834260)"
-0.006610909942537546,-0.028558852151036263,0.001743457978591323,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=364816781)"
-0.006628013681620359,-0.028762759640812874,0.0016393332043662667,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=372776261)"
-0.006645686458796263,-0.02897142991423607,0.0015430563362315297,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=380793761)"
-0.006548161152750254,-0.02849433571100235,0.0011035013012588024,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=389098740)"
-0.006453302688896656,-0.02803824096918106,0.0006758288363926113,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=397062381)"
-0.00636169733479619,-0.02760159969329834,0.00021371274488046765,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=404826025)"
-0.006273310631513596,-0.02718404494225979,-0.00023387488909065723,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=412732897)"
-0.006188318133354187,-0.026784759014844894,-0.0006683937390334904,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=420878136)"
-0.006104586645960808,-0.02640247903764248,-0.0010904259979724884,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=428782484)"
-0.006022844463586807,-0.026037825271487236,-0.001501617138274014,"builtin_interfaces.msg.Time(sec=1693543021, nanosec=436917577)"
